Facility,Date,Actual Departures,Actual Arrivals,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,On-Time Arrivals,% On-Time Gate Departures,% On-Time Gate Arrivals,Average Gate Departure Delay,Average Gate Arrival Delay,Average Block Delay,Average Taxi Out Time,Average Taxi In Time,Delayed Arrivals,Average Delay Per Delayed Arrival,State,month,stringency
ABQ,Jun-03,3066.0,3074.0,15.0,14.0,5.0,1.0,2611.0,87.7,84.94,6.66,7.85,2.67,9.89,4.41,463.0,42.0,NM,,
ABQ,Jul-03,3153.0,3165.0,15.0,14.0,10.0,0.0,2659.0,86.71,84.01,7.43,9.52,2.22,10.35,4.52,506.0,51.04,NM,,
ABQ,Aug-03,3125.0,3138.0,26.0,22.0,11.0,2.0,2641.0,86.85,84.16,6.96,8.61,2.29,10.04,4.46,497.0,46.59,NM,,
ABQ,Sep-03,3056.0,3056.0,24.0,27.0,4.0,1.0,2773.0,92.15,90.74,4.22,4.89,2.11,9.53,4.43,283.0,40.62,NM,,
ABQ,Oct-03,3169.0,3170.0,20.0,22.0,5.0,0.0,2834.0,90.56,89.4,5.24,5.89,1.95,9.6,4.51,336.0,43.72,NM,,
ABQ,Nov-03,2887.0,2891.0,20.0,16.0,2.0,2.0,2457.0,88.81,84.99,5.69,7.74,3.2,9.51,4.38,434.0,40.6,NM,,
ABQ,Dec-03,3042.0,3045.0,31.0,23.0,2.0,3.0,2538.0,86.49,83.35,6.63,8.7,2.63,10.02,4.39,507.0,42.78,NM,,
ABQ,Jan-04,3030.0,3038.0,39.0,37.0,6.0,1.0,2479.0,87.92,81.6,6.53,9.17,3.4,10.8,4.28,559.0,41.31,NM,,
ABQ,Feb-04,2891.0,2889.0,28.0,26.0,6.0,12.0,2314.0,84.95,80.1,7.8,10.47,3.58,12.65,4.45,575.0,43.81,NM,,
ABQ,Mar-04,3118.0,3126.0,15.0,12.0,4.0,0.0,2663.0,87.94,85.19,5.79,7.5,2.64,9.99,4.61,463.0,40.07,NM,,
ABQ,Apr-04,2957.0,2963.0,15.0,15.0,5.0,0.0,2459.0,85.56,82.99,7.33,8.53,3.25,10.41,4.72,504.0,39.56,NM,,
ABQ,May-04,3053.0,3061.0,28.0,28.0,9.0,1.0,2565.0,86.37,83.8,7.92,8.7,2.29,10.53,4.37,496.0,44.47,NM,,
ABQ,Jun-04,3100.0,3112.0,12.0,12.0,12.0,1.0,2259.0,79.03,72.59,11.44,14.59,4.01,10.76,4.62,853.0,46.71,NM,,
ABQ,Jul-04,3131.0,3142.0,17.0,14.0,13.0,4.0,2431.0,79.34,77.37,12.34,12.12,3.18,10.48,5.03,711.0,45.27,NM,,
ABQ,Aug-04,3224.0,3224.0,18.0,17.0,6.0,8.0,2502.0,80.33,77.61,10.69,12.04,2.62,10.1,4.62,722.0,46.05,NM,,
ABQ,Sep-04,3064.0,3066.0,35.0,31.0,0.0,2.0,2723.0,90.31,88.81,5.13,6.12,1.42,9.55,4.52,343.0,43.5,NM,,
ABQ,Oct-04,3209.0,3202.0,10.0,12.0,4.0,10.0,2563.0,81.55,80.04,9.68,10.57,2.99,9.93,4.59,639.0,43.54,NM,,
