State,month,stringency
AK,Jan-20,0.0
AL,Jan-20,0.0
AR,Jan-20,0.0
AZ,Jan-20,0.0
CA,Jan-20,0.0
CO,Jan-20,0.0
CT,Jan-20,0.0
DC,Jan-20,0.0
DE,Jan-20,0.0
FL,Jan-20,0.0
GA,Jan-20,0.0
HI,Jan-20,0.0
IA,Jan-20,0.0
ID,Jan-20,0.0
IL,Jan-20,0.0
IN,Jan-20,0.0
KS,Jan-20,0.0
KY,Jan-20,0.0
LA,Jan-20,0.0
MA,Jan-20,0.0
MD,Jan-20,0.0
ME,Jan-20,0.0
MI,Jan-20,1.39
MN,Jan-20,0.0
MO,Jan-20,0.0
MS,Jan-20,0.0
MT,Jan-20,0.0
NC,Jan-20,0.0
ND,Jan-20,0.0
NE,Jan-20,0.0
NH,Jan-20,0.0
NJ,Jan-20,0.0
NM,Jan-20,0.0
NV,Jan-20,0.0
NY,Jan-20,0.0
OH,Jan-20,0.0
OK,Jan-20,0.0
OR,Jan-20,0.0
PA,Jan-20,0.0
RI,Jan-20,0.0
SC,Jan-20,0.0
SD,Jan-20,0.0
TN,Jan-20,0.0
TX,Jan-20,0.0
UT,Jan-20,0.0
VA,Jan-20,0.0
VT,Jan-20,0.0
WA,Jan-20,0.0
WI,Jan-20,0.0
WV,Jan-20,0.0
WY,Jan-20,0.0
AK,Feb-20,5.56
AL,Feb-20,0.0
AR,Feb-20,0.0
AZ,Feb-20,5.56
CA,Feb-20,2.78
CO,Feb-20,0.0
CT,Feb-20,5.56
DC,Feb-20,0.0
DE,Feb-20,5.56
FL,Feb-20,0.0
GA,Feb-20,0.0
HI,Feb-20,5.56
IA,Feb-20,0.0
ID,Feb-20,0.0
IL,Feb-20,2.78
IN,Feb-20,0.0
KS,Feb-20,0.0
KY,Feb-20,5.56
LA,Feb-20,0.0
MA,Feb-20,3.7
MD,Feb-20,0.0
ME,Feb-20,0.0
MI,Feb-20,9.72
MN,Feb-20,8.33
MO,Feb-20,5.56
MS,Feb-20,0.0
MT,Feb-20,0.0
NC,Feb-20,0.0
ND,Feb-20,5.56
NE,Feb-20,5.56
NH,Feb-20,5.56
NJ,Feb-20,0.0
NM,Feb-20,0.0
NV,Feb-20,0.0
NY,Feb-20,5.56
OH,Feb-20,5.56
OK,Feb-20,5.56
OR,Feb-20,0.0
PA,Feb-20,0.0
RI,Feb-20,11.11
SC,Feb-20,5.56
SD,Feb-20,0.0
TN,Feb-20,0.0
TX,Feb-20,2.78
UT,Feb-20,0.0
VA,Feb-20,0.0
VT,Feb-20,5.56
WA,Feb-20,0.0
WI,Feb-20,5.56
WV,Feb-20,0.0
WY,Feb-20,5.56
AK,Mar-20,16.67
AL,Mar-20,5.56
AR,Mar-20,5.56
AZ,Mar-20,11.11
CA,Mar-20,11.11
CO,Mar-20,11.11
CT,Mar-20,16.67
DC,Mar-20,5.56
DE,Mar-20,11.11
FL,Mar-20,16.67
GA,Mar-20,5.56
HI,Mar-20,16.67
IA,Mar-20,5.56
ID,Mar-20,5.56
IL,Mar-20,11.11
IN,Mar-20,11.11
KS,Mar-20,5.56
KY,Mar-20,11.11
LA,Mar-20,5.56
MA,Mar-20,9.26
MD,Mar-20,5.56
ME,Mar-20,16.67
MI,Mar-20,12.5
MN,Mar-20,11.11
MO,Mar-20,11.11
MS,Mar-20,5.56
MT,Mar-20,13.89
NC,Mar-20,5.56
ND,Mar-20,11.11
NE,Mar-20,11.11
NH,Mar-20,11.11
NJ,Mar-20,11.11
NM,Mar-20,5.56
NV,Mar-20,11.11
NY,Mar-20,16.67
OH,Mar-20,22.22
OK,Mar-20,11.11
OR,Mar-20,11.11
PA,Mar-20,16.67
RI,Mar-20,16.67
SC,Mar-20,16.67
SD,Mar-20,16.67
TN,Mar-20,5.56
TX,Mar-20,5.56
UT,Mar-20,11.11
VA,Mar-20,5.56
VT,Mar-20,11.11
WA,Mar-20,11.11
WI,Mar-20,11.11
WV,Mar-20,11.11
WY,Mar-20,11.11
AK,Apr-20,85.19
AL,Apr-20,73.61
AR,Apr-20,65.74
AZ,Apr-20,62.04
CA,Apr-20,82.41
CO,Apr-20,82.41
CT,Apr-20,78.7
DC,Apr-20,87.04
DE,Apr-20,81.48
FL,Apr-20,77.31
GA,Apr-20,54.63
HI,Apr-20,76.85
IA,Apr-20,62.04
ID,Apr-20,87.96
IL,Apr-20,82.41
IN,Apr-20,79.63
KS,Apr-20,79.63
KY,Apr-20,85.19
LA,Apr-20,75.93
MA,Apr-20,75.93
MD,Apr-20,87.96
ME,Apr-20,81.48
MI,Apr-20,75.46
MN,Apr-20,82.41
MO,Apr-20,67.59
MS,Apr-20,50.93
MT,Apr-20,79.63
NC,Apr-20,80.56
ND,Apr-20,51.85
NE,Apr-20,66.2
NH,Apr-20,85.19
NJ,Apr-20,76.85
NM,Apr-20,87.04
NV,Apr-20,76.85
NY,Apr-20,82.41
OH,Apr-20,82.41
OK,Apr-20,79.63
OR,Apr-20,78.7
PA,Apr-20,79.63
RI,Apr-20,82.41
SC,Apr-20,74.07
SD,Apr-20,65.74
TN,Apr-20,75.93
TX,Apr-20,75.0
UT,Apr-20,69.44
VA,Apr-20,75.93
VT,Apr-20,82.41
WA,Apr-20,79.63
WI,Apr-20,76.85
WV,Apr-20,82.41
WY,Apr-20,69.44
AK,May-20,75.0
AL,May-20,72.22
AR,May-20,69.44
AZ,May-20,73.15
CA,May-20,82.41
CO,May-20,79.63
CT,May-20,78.7
DC,May-20,87.04
DE,May-20,84.26
FL,May-20,81.94
GA,May-20,74.07
HI,May-20,76.85
IA,May-20,72.22
ID,May-20,69.44
IL,May-20,82.41
IN,May-20,71.3
KS,May-20,79.63
KY,May-20,90.74
LA,May-20,70.37
MA,May-20,75.93
MD,May-20,93.52
ME,May-20,89.81
MI,May-20,71.76
MN,May-20,76.85
MO,May-20,76.85
MS,May-20,78.7
MT,May-20,74.07
NC,May-20,75.93
ND,May-20,57.41
NE,May-20,75.0
NH,May-20,85.19
NJ,May-20,82.41
NM,May-20,87.04
NV,May-20,73.15
NY,May-20,82.41
OH,May-20,73.15
OK,May-20,68.06
OR,May-20,78.7
PA,May-20,81.48
RI,May-20,82.41
SC,May-20,75.93
SD,May-20,52.78
TN,May-20,68.52
TX,May-20,72.69
UT,May-20,57.41
VA,May-20,78.7
VT,May-20,78.7
WA,May-20,79.63
WI,May-20,75.93
WV,May-20,78.7
WY,May-20,77.78
AK,Jun-20,57.41
AL,Jun-20,56.48
AR,Jun-20,69.44
AZ,Jun-20,54.63
CA,Jun-20,67.59
CO,Jun-20,69.44
CT,Jun-20,73.61
DC,Jun-20,77.78
DE,Jun-20,78.7
FL,Jun-20,73.61
GA,Jun-20,71.3
HI,Jun-20,71.3
IA,Jun-20,53.7
ID,Jun-20,59.26
IL,Jun-20,75.0
IN,Jun-20,62.04
KS,Jun-20,69.44
KY,Jun-20,77.78
LA,Jun-20,66.67
MA,Jun-20,69.44
MD,Jun-20,82.41
ME,Jun-20,83.33
MI,Jun-20,62.5
MN,Jun-20,67.59
MO,Jun-20,63.43
MS,Jun-20,62.96
MT,Jun-20,60.19
NC,Jun-20,66.67
ND,Jun-20,47.22
NE,Jun-20,69.91
NH,Jun-20,81.48
NJ,Jun-20,78.7
NM,Jun-20,83.33
NV,Jun-20,66.67
NY,Jun-20,78.7
OH,Jun-20,66.67
OK,Jun-20,54.17
OR,Jun-20,69.44
PA,Jun-20,65.28
RI,Jun-20,72.22
SC,Jun-20,66.67
SD,Jun-20,49.07
TN,Jun-20,64.81
TX,Jun-20,50.0
UT,Jun-20,59.26
VA,Jun-20,75.0
VT,Jun-20,72.22
WA,Jun-20,64.35
WI,Jun-20,55.09
WV,Jun-20,66.67
WY,Jun-20,65.74
AK,Jul-20,54.63
AL,Jul-20,50.0
AR,Jul-20,63.89
AZ,Jul-20,58.33
CA,Jul-20,67.59
CO,Jul-20,61.11
CT,Jul-20,72.22
DC,Jul-20,72.22
DE,Jul-20,71.3
FL,Jul-20,69.91
GA,Jul-20,67.59
HI,Jul-20,71.3
IA,Jul-20,50.0
ID,Jul-20,56.02
IL,Jul-20,55.56
IN,Jul-20,55.56
KS,Jul-20,60.19
KY,Jul-20,65.74
LA,Jul-20,66.67
MA,Jul-20,67.59
MD,Jul-20,62.5
ME,Jul-20,83.33
MI,Jul-20,55.09
MN,Jul-20,61.11
MO,Jul-20,37.96
MS,Jul-20,62.96
MT,Jul-20,60.19
NC,Jul-20,66.67
ND,Jul-20,47.22
NE,Jul-20,65.28
NH,Jul-20,50.0
NJ,Jul-20,66.67
NM,Jul-20,83.33
NV,Jul-20,57.41
NY,Jul-20,76.39
OH,Jul-20,66.67
OK,Jul-20,51.39
OR,Jul-20,58.8
PA,Jul-20,61.57
RI,Jul-20,68.52
SC,Jul-20,49.07
SD,Jul-20,49.07
TN,Jul-20,64.81
TX,Jul-20,57.41
UT,Jul-20,55.09
VA,Jul-20,60.19
VT,Jul-20,68.52
WA,Jul-20,65.28
WI,Jul-20,55.09
WV,Jul-20,55.56
WY,Jul-20,61.11
AK,Aug-20,57.87
AL,Aug-20,50.0
AR,Aug-20,63.89
AZ,Aug-20,58.33
CA,Aug-20,67.59
CO,Aug-20,61.11
CT,Aug-20,70.37
DC,Aug-20,77.78
DE,Aug-20,67.59
FL,Aug-20,69.91
GA,Aug-20,65.74
HI,Aug-20,82.41
IA,Aug-20,50.0
ID,Aug-20,56.02
IL,Aug-20,58.33
IN,Aug-20,50.0
KS,Aug-20,58.33
KY,Aug-20,72.22
LA,Aug-20,69.44
MA,Aug-20,62.04
MD,Aug-20,56.94
ME,Aug-20,83.33
MI,Aug-20,56.94
MN,Aug-20,61.11
MO,Aug-20,50.46
MS,Aug-20,59.26
MT,Aug-20,60.19
NC,Aug-20,66.67
ND,Aug-20,47.22
NE,Aug-20,55.09
NH,Aug-20,50.0
NJ,Aug-20,59.26
NM,Aug-20,83.33
NV,Aug-20,59.26
NY,Aug-20,72.22
OH,Aug-20,66.67
OK,Aug-20,43.98
OR,Aug-20,68.52
PA,Aug-20,66.2
RI,Aug-20,62.96
SC,Aug-20,49.07
SD,Aug-20,49.07
TN,Aug-20,62.96
TX,Aug-20,58.8
UT,Aug-20,56.94
VA,Aug-20,61.57
VT,Aug-20,68.52
WA,Aug-20,65.28
WI,Aug-20,55.09
WV,Aug-20,61.11
WY,Aug-20,61.11
AK,Sep-20,56.02
AL,Sep-20,45.37
AR,Sep-20,56.48
AZ,Sep-20,59.26
CA,Sep-20,64.35
CO,Sep-20,61.11
CT,Sep-20,64.81
DC,Sep-20,68.52
DE,Sep-20,65.74
FL,Sep-20,62.5
GA,Sep-20,62.04
HI,Sep-20,78.7
IA,Sep-20,47.22
ID,Sep-20,55.09
IL,Sep-20,55.09
